english,arabic,transliteration,unit,type
nothing,لا شَيْء,laa shayʾ,7,noun
or,أَو,aw,7,particle
"I see, watch",أُشاهِد,ushaahid,7,verb
you (m.) see,تُشاهِد,tushaahid,7,verb
you (f.) see,تُشاهِدين,tushaahidiin,7,verb
he sees,يُشاهِد,yushaahid,7,verb
she sees,تُشاهِد,tushaahid,7,verb
movie,فيلم,film,7,noun
"cinema, movies",السّينَما,as-sinamaa,7,noun
"means, that is",يَعْني,yaʿnii,8,phrase
building,بِناية,binaaya,8,noun
"office, desk",مَكْتَب,maktab,8,noun
"library, bookstore",مَكْتَبة,maktaba,8,noun
word,كَلِمة,kalima,8,noun
sentence,جُمْلة,jumla,8,noun
"test, examination",إمْتِحان,imtiHaan,8,noun
pen or pencil,قَلَم,qalam,8,noun
"drill, exercise",تَمْرين,tamriin,8,noun
"bathroom, toilet",الحَمّام,al-Hammaam,8,noun
"close to, near (m.)",قَريب مِن,qariib min,8,adjective
"close to, near (f.)",قَريبة مِن,qariiba min,8,adjective
far from (m.),بَعيد عَن,baʿiid ʿan,8,adjective
far from (f.),بَعيدة عَن,baʿiida ʿan,8,adjective
tired (m.),تَعْبان,taʿbaan,8,adjective
tired (f.),تَعْبانة,taʿbaana,8,adjective
cold (m.),بَرْدان,bardaan,8,adjective
cold (f.),بَرْدانة,bardaana,8,adjective
hot (m.),حَرّان,Harraan,8,adjective
hot (f.),حَرّانة,Harraana,8,adjective
thirsty (m.),عَطْشان,ʿaTshaan,8,adjective
thirsty (f.),عَطْشانة,ʿaTshaana,8,adjective
hungry (m.),جَوْعان,jawʿaan,8,adjective
hungry (f.),جَوْعانة,jawʿaana,8,adjective
"upset, angry/sad (m.)",زَعْلان,zaʿlaan,8,adjective
"upset, angry/sad (f.)",زَعْلانة,zaʿlaana,8,adjective
exhausted (m.),خَلْصان,khalSaan,8,adjective
exhausted (f.),خَلْصانة,khalSaana,8,adjective
happy (m.),سَعيد,saʿiid,8,adjective
happy (f.),سَعيدة,saʿiida,8,adjective
sick (m.),مَريض,mariiD,8,adjective
sick (f.),مَريضة,mariiDa,8,adjective
a little,قَليلاً,qaliilan,8,particle
what's wrong (m.)?,ما بِكَ؟,maa bika?,8,phrase
what's wrong (f.)?,ما بِكِ؟,maa biki?,8,phrase
feel better!,سَلامَتِك,salaamtik,8,phrase
(reply),الله يِسَلِّمِك,allah yisallimik,8,phrase
man,رَجُل,rajul,9,noun
woman,اِمْرَأة,imraʾa,9,noun
girl,بِنْت,bint,9,noun
boy,وَلَد,walad,9,noun
story,قِصّة,qiSSa,9,noun
short (m.),قَصير,qaSiir,9,adjective
short (f.),قَصيرة,qaSiira,9,adjective
"tall, long (m.)",طَويل,Tawiil,9,adjective
"tall, long (f.)",طَويلة,Tawiila,9,adjective
beautiful (m.),جَميل,jamiil,9,adjective
beautiful (f.),جَميلة,jamiila,9,adjective
"nice, pleasant (m.)",لَطيف,laTiif,9,adjective
"nice, pleasant (f.)",لَطيفة,laTiifa,9,adjective
never mind! sorry!,مَعلِش,maʿlish,9,phrase
problem,مُشْكِلة,mushkila,9,noun
"wrong, a mistake",غَلَط,ghalaT,9,noun
"sir, madam (Egyptian)",أَفَنْدِم,afandim,9,noun
